Product ID,Product Name,Brand,Category,Sub Category,Selling Price
PROD00134,Adidas Mens Clothing,Adidas,Fashion,Men's Clothing,9916.73
PROD00135,Wildcraft Footwear,Wildcraft,Fashion,Footwear,2239.3
PROD00136,Wildcraft Womens Clothing,Wildcraft,Fashion,Women's Clothing,6120.16
PROD00137,Nike Bag,Nike,Fashion,Bags,1781.64
PROD00138,Puma Bag,Puma,Fashion,Bags,11330.2
PROD00139,Wildcraft Bag,Wildcraft,Fashion,Bags,2731.49
PROD00140,Adidas Footwear,Adidas,Fashion,Footwear,4600.06
PROD00141,FaberCastell Notebook,Faber-Castell,Stationery,Notebooks,1388.5
PROD00142,FaberCastell Pen,Faber-Castell,Stationery,Pens,938.31
PROD00143,Classmate Notebook,Classmate,Stationery,Notebooks,694.54
PROD00144,Classmate Office Supplie,Classmate,Stationery,Office Supplies,136.57
PROD00145,FaberCastell Art Supplie,Faber-Castell,Stationery,Art Supplies,968.46
PROD00146,FaberCastell Office Supplie,Faber-Castell,Stationery,Office Supplies,1176.84
PROD00147,Classmate Art Supplie,Classmate,Stationery,Art Supplies,287.03
PROD00148,Classmate Pen,Classmate,Stationery,Pens,789.3
PROD00149,Puma Football,Puma,Sports,Football,17995.03
PROD00150,Nike Fitness Equipment,Nike,Sports,Fitness Equipment,12729.98
PROD00151,Puma Fitness Equipment,Puma,Sports,Fitness Equipment,12217.43
PROD00152,Nike Football,Nike,Sports,Football,20563.82
PROD00153,Nike Outdoor Sport,Nike,Sports,Outdoor Sports,7528.34
PROD00154,Puma Cricket,Puma,Sports,Cricket,20815.67
PROD00155,Nike Cricket,Nike,Sports,Cricket,4277.7
PROD00156,Adidas Fitness Equipment,Adidas,Sports,Fitness Equipment,17445.33
PROD00157,Puma Outdoor Sport,Puma,Sports,Outdoor Sports,13982.09
PROD00158,Adidas Football,Adidas,Sports,Football,18267.17
PROD00159,Adidas Outdoor Sport,Adidas,Sports,Outdoor Sports,5871.34
PROD00160,Adidas Cricket,Adidas,Sports,Cricket,22467.93
PROD00161,Hamleys Action Figure,Hamleys,Toys,Action Figures,11239.82
PROD00162,Funskool Educational Toy,Funskool,Toys,Educational Toys,3674.9
PROD00163,LeapFrog Board Game,LeapFrog,Toys,Board Games,3868.39
PROD00164,Hamleys Board Game,Hamleys,Toys,Board Games,5229.57
PROD00165,Funskool Board Game,Funskool,Toys,Board Games,13767.23
PROD00166,Funskool Action Figure,Funskool,Toys,Action Figures,9701.95
PROD00167,LeapFrog Kids Toy,LeapFrog,Toys,Kids Toys,3065.68
PROD00168,Hamleys Educational Toy,Hamleys,Toys,Educational Toys,10727.57
PROD00169,LeapFrog Action Figure,LeapFrog,Toys,Action Figures,1703.19
PROD00170,Hamleys Kids Toy,Hamleys,Toys,Kids Toys,11928.03
PROD00171,LeapFrog Educational Toy,LeapFrog,Toys,Educational Toys,13047.05
PROD00172,Funskool Kids Toy,Funskool,Toys,Kids Toys,8098.72
